Contact_Radius_Length,Contact_Radius_Width,Average_Chip_1,Stress_Contact_1,Stress_Contact_2,Stress_Metal_1,Stress_Metal_2,Total_Strain_Contact_1,Total_Strain_Contact_2,Total_Strain_Metal_1,Total_Strain_Metal_2,Total_Displacement_Contact_1,Total_Displacement_Contact_2,Total_Displacement_Metal_1,Total_Displacement_Metal_2
0.1605,0.055053942,164.8546142781237,196.92579146434707,3.7865965400202344e-08,191.83556739375382,2.0082128199806127e-08,0.002611816148958928,1.3809523897402477e-12,0.002547175528437487,7.917459993781101e-13,0.0012470439129906162,2.3321263872642924e-14,0.0011120036890609414,3.670788162883013e-14
0.1575,0.054024896,164.8558143450694,196.495594802282,4.5234878193771474e-08,191.83592665530728,1.891215776717626e-08,0.0026058559924742224,1.463999908171951e-12,0.002546948405878222,7.167908106854613e-13,0.001246594061399046,2.680279341693855e-14,0.0011119907250044274,3.538988512364647e-14
0.1485,0.050937759,164.85963517631745,194.7414755511537,4.677795746179633e-08,191.8385212395139,1.8504683958637893e-08,0.0025812904703127067,1.677321607573017e-12,0.002546491731117689,7.591025128352286e-13,0.0012446177568639116,1.901104945344594e-14,0.0011119592329508377,3.6151001375007516e-14
0.1455,0.049908714,164.86056240291245,193.89908001103953,4.5076279385409804e-08,191.83906467270265,1.7517815347368386e-08,0.0025715045455336474,1.5579897858665992e-12,0.0025464352613937063,6.989945550292903e-13,0.0012436207939612437,2.8812800651556724e-14,0.0011119445144047045,3.301433507619345e-14
0.1335,0.045792531,164.8662366007013,192.23789960900348,4.220859282540824e-08,191.84738861543894,2.1192498632942444e-08,0.002547579210937528,1.5892043300939513e-12,0.0025464383666864605,8.381883420100346e-13,0.0012421316840680694,2.285783362905253e-14,0.001111910941884391,3.952054169882873e-14
0.1065,0.03653112,164.8807117328866,186.85083081375396,4.318039947500407e-08,191.8684993033415,1.544530055629135e-08,0.002472638869373966,1.5091560888154661e-12,0.002546596927376551,6.167977167245165e-13,0.0012392080788440347,1.4799592638520042e-14,0.001111940255782631,3.104403205588296e-14
0.0945,0.032414938,164.8877220521949,185.57138077223053,3.929673242419649e-08,191.87659312782853,1.7092817212975652e-08,0.0024560084696767974,1.4947330774318143e-12,0.002546297585106303,6.847424034228758e-13,0.0012383794119119524,2.058248116827767e-14,0.0011119826190569896,3.4430400046206987e-14
0.0885,0.030356846,164.8919926140352,184.51721931260403,4.364743663384473e-08,191.881839407668,1.7360967924203398e-08,0.0024396372639740684,1.626622446635374e-12,0.0025461165729950136,6.956652949835885e-13,0.0012382303068554977,2.1695492396137562e-14,0.0011120152994073538,3.291813344345524e-14
0.0855,0.029327801,164.89406069534988,183.5584271315714,4.798161615176421e-08,191.88450353071826,1.7157607566888547e-08,0.002426196046579535,1.7276845151058838e-12,0.002546015646783813,6.527050762512658e-13,0.0012376684398190507,3.043341151204121e-14,0.0011120289984577214,3.1948592262318364e-14
0.0795,0.02726971,164.89795842480143,180.3074444262288,5.49157592423959e-08,191.8897148276784,1.8669442842268177e-08,0.002380887643710168,1.83966700701308e-12,0.002545940046555176,7.303610008062001e-13,0.0012368394987371445,1.7122019505394597e-14,0.001112070956899921,3.462208801493545e-14
